bact,phage,dil,count,dil_fact,den,lden,bact_time,block
b1.23,isp,100000,10,200,200000000,8.301029996,b1,2
b1.24,isp,100000,27,200,540000000,8.73239376,b1,2
b1.9,3b,NA,NA,200,NA,NA,b1,2
b1.10,3b,NA,NA,200,NA,NA,b1,2
b1.11,3b,NA,NA,200,NA,NA,b1,2
b1.12,3b,1000000,9,200,1800000000,9.255272505,b1,2
b1.13,3b,1000000,3,200,600000000,8.77815125,b1,2
b1.14,3b,NA,NA,200,NA,NA,b1,2
b1.15,3b,100000,24,200,480000000,8.681241237,b1,2
b1.16,3b,1000000,6,200,1200000000,9.079181246,b1,2
b1.17,3b,1000000,3,200,600000000,8.77815125,b1,2
b1.18,3b,1000000,6,200,1200000000,9.079181246,b1,2
b1.19,3b,1000000,5,200,1000000000,9,b1,2
b1.20,3b,1000000,36,200,7200000000,9.857332496,b1,2
b1.21,3b,1000000,6,200,1200000000,9.079181246,b1,2
b1.22,3b,100000,37,200,740000000,8.86923172,b1,2
b1.23,3b,1000000,7,200,1400000000,9.146128036,b1,2
b1.24,3b,1000000,3,200,600000000,8.77815125,b1,2
b1.9,4b,NA,NA,200,NA,NA,b1,2
b1.10,4b,NA,NA,200,NA,NA,b1,2
b1.11,4b,1000000,7,200,1400000000,9.146128036,b1,2
b1.12,4b,1000000,7,200,1400000000,9.146128036,b1,2
b1.13,4b,1000000,8,200,1600000000,9.204119983,b1,2
b1.14,4b,100000,32,200,640000000,8.806179974,b1,2
b1.15,4b,1000000,7,200,1400000000,9.146128036,b1,2
b1.16,4b,1000000,11,200,2200000000,9.342422681,b1,2
b1.17,4b,1000000,7,200,1400000000,9.146128036,b1,2
b1.18,4b,1000000,8,200,1600000000,9.204119983,b1,2
b1.19,4b,NA,NA,200,NA,NA,b1,2
b1.20,4b,NA,NA,200,NA,NA,b1,2
b1.21,4b,1000000,10,200,2000000000,9.301029996,b1,2
b1.22,4b,NA,NA,200,NA,NA,b1,2
b1.23,4b,1000000,6,200,1200000000,9.079181246,b1,2
b1.24,4b,1000000,6,200,1200000000,9.079181246,b1,2
b2.9,isp,100000,17,200,340000000,8.531478917,b2,2
b2.10,isp,1000000,2,200,400000000,8.602059991,b2,2
b2.11,isp,100000,13,200,260000000,8.414973348,b2,2
b2.12,isp,100000,8,200,160000000,8.204119983,b2,2
b2.13,isp,100000,5,200,100000000,8,b2,2
b2.14,isp,NA,NA,200,NA,NA,b2,2
b2.15,isp,100000,10,200,200000000,8.301029996,b2,2
b2.16,isp,100000,13,200,260000000,8.414973348,b2,2
b2.17,isp,100000,20,200,400000000,8.602059991,b2,2
b2.18,isp,100000,10,200,200000000,8.301029996,b2,2
b2.19,isp,100000,8,200,160000000,8.204119983,b2,2
b2.20,isp,100000,8,200,160000000,8.204119983,b2,2
b2.21,isp,100000,8,200,160000000,8.204119983,b2,2
b2.22,isp,100000,9,200,180000000,8.255272505,b2,2
b2.23,isp,100000,7,200,140000000,8.146128036,b2,2
b2.24,isp,10000000,7,200,14000000000,10.14612804,b2,2
b2.9,3b,1000000,4,200,800000000,8.903089987,b2,2
b2.10,3b,1000000,4,200,800000000,8.903089987,b2,2
b2.11,3b,100000,28,200,560000000,8.748188027,b2,2
b2.12,3b,1000000,4,200,800000000,8.903089987,b2,2
b2.13,3b,1000000,4,200,800000000,8.903089987,b2,2
b2.14,3b,NA,NA,200,NA,NA,b2,2
b2.15,3b,1000000,6,200,1200000000,9.079181246,b2,2
b2.16,3b,1000000,7,200,1400000000,9.146128036,b2,2
b2.17,3b,1000000,4,200,800000000,8.903089987,b2,2
b2.18,3b,1000000,3,200,600000000,8.77815125,b2,2
b2.19,3b,1000000,6,200,1200000000,9.079181246,b2,2
b2.20,3b,1000000,3,200,600000000,8.77815125,b2,2
b2.21,3b,100000,43,200,860000000,8.934498451,b2,2
b2.22,3b,1000000,2,200,400000000,8.602059991,b2,2
b2.23,3b,1000000,2,200,400000000,8.602059991,b2,2
b2.24,3b,1000000,4,200,800000000,8.903089987,b2,2
b2.9,4b,1000000,7,200,1400000000,9.146128036,b2,2
b2.10,4b,1000000,9,200,1800000000,9.255272505,b2,2
b2.11,4b,100000,29,200,580000000,8.763427994,b2,2
b2.12,4b,1000000,5,200,1000000000,9,b2,2
b2.13,4b,1000000,5,200,1000000000,9,b2,2
b2.14,4b,NA,NA,200,NA,NA,b2,2
b2.15,4b,1000000,5,200,1000000000,9,b2,2
b2.16,4b,1000000,4,200,800000000,8.903089987,b2,2
b2.17,4b,1000000,8,200,1600000000,9.204119983,b2,2
b2.18,4b,1000000,3,200,600000000,8.77815125,b2,2
b2.19,4b,1000000,3,200,600000000,8.77815125,b2,2
b2.20,4b,1000000,4,200,800000000,8.903089987,b2,2
b2.21,4b,100000,24,200,480000000,8.681241237,b2,2
b2.22,4b,1000000,2,200,400000000,8.602059991,b2,2
b2.23,4b,1000000,3,200,600000000,8.77815125,b2,2
b2.24,4b,1000000,7,200,1400000000,9.146128036,b2,2
b5.9,isp,100000,20,200,400000000,8.602059991,b5,2
b5.10,isp,NA,NA,200,NA,NA,b5,2
b5.11,isp,100000,4,200,80000000,7.903089987,b5,2
b5.12,isp,NA,NA,200,NA,NA,b5,2
b5.13,isp,100000,15,200,300000000,8.477121255,b5,2
b5.14,isp,NA,NA,200,NA,NA,b5,2
b5.15,isp,NA,NA,200,NA,NA,b5,2
b5.16,isp,100000,19,200,380000000,8.579783597,b5,2
