treat,treat2,rep,time,count,dil,dil_fact,den,lden
clone2,clone,4,t3,12,1000,333.3333333,4000000,6.602059991
clone2,clone,5,t3,21,1000,333.3333333,7000000,6.84509804
clone2,clone,6,t3,13,10000,333.3333333,43333333.33,7.636822098
clone3,clone,1,t3,6,1000,333.3333333,2000000,6.301029996
clone3,clone,2,t3,7,1000,333.3333333,2333333.333,6.367976785
clone3,clone,3,t3,33,1000,333.3333333,11000000,7.041392685
clone3,clone,4,t3,13,1000,333.3333333,4333333.333,6.636822098
clone3,clone,5,t3,14,1000,333.3333333,4666666.667,6.669006781
clone3,clone,6,t3,19,1000,333.3333333,6333333.333,6.801632346
clone4,clone,1,t3,11,1000,333.3333333,3666666.667,6.56427143
clone4,clone,2,t3,10,1000,333.3333333,3333333.333,6.522878745
clone4,clone,3,t3,13,1000,333.3333333,4333333.333,6.636822098
clone4,clone,4,t3,20,1000,333.3333333,6666666.667,6.823908741
clone4,clone,5,t3,12,1000,333.3333333,4000000,6.602059991
clone4,clone,6,t3,9,1000,333.3333333,3000000,6.477121255
mix,mix,1,t3,5,10000,333.3333333,16666666.67,7.22184875
mix,mix,2,t3,8,10000,333.3333333,26666666.67,7.425968732
mix,mix,3,t3,6,10000,333.3333333,20000000,7.301029996
mix,mix,4,t3,9,10000,333.3333333,30000000,7.477121255
mix,mix,5,t3,24,1000,333.3333333,8000000,6.903089987
mix,mix,6,t3,3,10000,333.3333333,10000000,7
mix,mix,7,t3,8,1000,333.3333333,2666666.667,6.425968732
mix,mix,8,t3,45,10000,333.3333333,150000000,8.176091259
mix,mix,9,t3,4,10000,333.3333333,13333333.33,7.124938737
mix,mix,10,t3,50,10000,333.3333333,166666666.7,8.22184875
mix,mix,11,t3,22,1000,333.3333333,7333333.333,6.865301426
mix,mix,12,t3,53,10000,333.3333333,176666666.7,8.247154615
clone1,clone,1,t4,4,10000,333.3333333,13333333.33,7.124938737
clone1,clone,2,t4,2,10000,333.3333333,6666666.667,6.823908741
clone1,clone,3,t4,4,1000,333.3333333,1333333.333,6.124938737
clone1,clone,4,t4,11,1000,333.3333333,3666666.667,6.56427143
clone1,clone,5,t4,17,1000,333.3333333,5666666.667,6.753327667
clone1,clone,6,t4,3,10000,333.3333333,10000000,7
clone2,clone,1,t4,4,1000,333.3333333,1333333.333,6.124938737
clone2,clone,2,t4,3,1000,333.3333333,1000000,6
clone2,clone,3,t4,5,1000,333.3333333,1666666.667,6.22184875
clone2,clone,4,t4,4,1000,333.3333333,1333333.333,6.124938737
clone2,clone,5,t4,8,1000,333.3333333,2666666.667,6.425968732
clone2,clone,6,t4,18,1000,333.3333333,6000000,6.77815125
clone3,clone,1,t4,11,1000,333.3333333,3666666.667,6.56427143
clone3,clone,2,t4,11,1000,333.3333333,3666666.667,6.56427143
clone3,clone,3,t4,11,10000,333.3333333,36666666.67,7.56427143
clone3,clone,4,t4,7,1000,333.3333333,2333333.333,6.367976785
clone3,clone,5,t4,12,1000,333.3333333,4000000,6.602059991
clone3,clone,6,t4,11,1000,333.3333333,3666666.667,6.56427143
clone4,clone,1,t4,2,1000,333.3333333,666666.6667,5.823908741
clone4,clone,2,t4,3,1000,333.3333333,1000000,6
clone4,clone,3,t4,5,1000,333.3333333,1666666.667,6.22184875
clone4,clone,4,t4,9,1000,333.3333333,3000000,6.477121255
clone4,clone,5,t4,10,1000,333.3333333,3333333.333,6.522878745
clone4,clone,6,t4,13,1000,333.3333333,4333333.333,6.636822098
mix,mix,1,t4,32,10000,333.3333333,106666666.7,8.028028724
mix,mix,2,t4,13,1000,333.3333333,4333333.333,6.636822098
mix,mix,3,t4,14,1000,333.3333333,4666666.667,6.669006781
mix,mix,4,t4,9,1000000,333.3333333,3000000000,9.477121255
mix,mix,5,t4,21,10000,333.3333333,70000000,7.84509804
mix,mix,6,t4,6,1000,333.3333333,2000000,6.301029996
mix,mix,7,t4,8,1000,333.3333333,2666666.667,6.425968732
mix,mix,8,t4,7,1000,333.3333333,2333333.333,6.367976785
mix,mix,9,t4,80,10000,333.3333333,266666666.7,8.425968732
mix,mix,10,t4,52,10000,333.3333333,173333333.3,8.238882089
mix,mix,11,t4,25,10,333.3333333,83333.33333,4.920818754
mix,mix,12,t4,12,10000,333.3333333,40000000,7.602059991
clone1,clone,1,t5,8,1000,333.3333333,2666666.667,6.425968732
clone1,clone,2,t5,10,1000,333.3333333,3333333.333,6.522878745
clone1,clone,3,t5,7,100,333.3333333,233333.3333,5.367976785
clone1,clone,4,t5,11,1000,333.3333333,3666666.667,6.56427143
clone1,clone,5,t5,16,1000,333.3333333,5333333.333,6.726998728
clone1,clone,6,t5,11,1000,333.3333333,3666666.667,6.56427143
clone2,clone,1,t5,12,1000,333.3333333,4000000,6.602059991
clone2,clone,2,t5,12,1000,333.3333333,4000000,6.602059991
clone2,clone,3,t5,25,1000,333.3333333,8333333.333,6.920818754
clone2,clone,4,t5,16,1000,333.3333333,5333333.333,6.726998728
clone2,clone,5,t5,19,10000,333.3333333,63333333.33,7.801632346
clone2,clone,6,t5,2,10000,333.3333333,6666666.667,6.823908741
clone3,clone,1,t5,7,1000,333.3333333,2333333.333,6.367976785
clone3,clone,2,t5,4,1000,333.3333333,1333333.333,6.124938737
clone3,clone,3,t5,6,1000,333.3333333,2000000,6.301029996
clone3,clone,4,t5,3,1000,333.3333333,1000000,6
clone3,clone,5,t5,9,1000,333.3333333,3000000,6.477121255
clone3,clone,6,t5,10,1000,333.3333333,3333333.333,6.522878745
clone4,clone,1,t5,15,100,333.3333333,500000,5.698970004
clone4,clone,2,t5,4,1000,333.3333333,1333333.333,6.124938737
clone4,clone,3,t5,1,1000,333.3333333,333333.3333,5.522878745
clone4,clone,4,t5,6,1000,333.3333333,2000000,6.301029996
clone4,clone,5,t5,22,100,333.3333333,733333.3333,5.865301426
clone4,clone,6,t5,3,1000,333.3333333,1000000,6
mix,mix,1,t5,40,10000,333.3333333,133333333.3,8.124938737
mix,mix,2,t5,22,1000,333.3333333,7333333.333,6.865301426
mix,mix,3,t5,25,1000,333.3333333,8333333.333,6.920818754
mix,mix,4,t5,23,10000,333.3333333,76666666.67,7.884606581
mix,mix,5,t5,26,1000,333.3333333,8666666.667,6.937852093
mix,mix,6,t5,32,1000,333.3333333,10666666.67,7.028028724
mix,mix,7,t5,12,1000,333.3333333,4000000,6.602059991
mix,mix,8,t5,2,10,333.3333333,6666.666667,3.823908741
mix,mix,9,t5,41,10000,333.3333333,136666666.7,8.135662602
mix,mix,10,t5,36,10000,333.3333333,120000000,8.079181246
mix,mix,11,t5,19,1000,333.3333333,6333333.333,6.801632346
mix,mix,12,t5,35,10000,333.3333333,116666666.7,8.06694679
